Date,Open,High,Low,Close
2023-01-01,18000,18100,17950,18050
2023-01-02,18050,18200,18000,18150
2023-01-03,18150,18250,18100,18200
2023-01-04,18200,18300,18150,18250
2023-01-05,18250,18350,18200,18300
2023-01-06,18300,18400,18250,18350
2023-01-07,18350,18450,18300,18400
2023-01-08,18400,18500,18350,18450
2023-01-09,18450,18550,18400,18500
2023-01-10,18500,18600,18450,18550
2023-01-11,18550,18500,18300,18350
2023-01-12,18350,18400,18200,18250
2023-01-13,18250,18300,18100,18150
2023-01-14,18150,18200,18000,18050
2023-01-15,18050,18100,17900,17950
2023-01-16,17950,18000,17800,17850
2023-01-17,17850,17900,17700,17750
2023-01-18,17750,17800,17600,17650
2023-01-19,17650,17700,17500,17550
2023-01-20,17550,17600,17400,17450
